quarter,gdp_growth,AR(1),DFM,Factor-MIDAS,SVR,kNN,Ridge,LASSO,RF,XGBoost,LightGBM,ERNN-MF,GRU-MF,LSTM-MF,ERNN-SF,GRU-SF,LSTM-SF
2013Q4,0.2,2.980136709,1.505372079,2.063711079,2.068127043,2.028571429,2.30076442,2.342208643,1.744524832,1.971549,2.511476295,1.0791564,5.1304817,2.9829428,8.602903,2.3481474,7.827684
2014Q1,-0.4,2.133520129,1.299743907,2.582312534,1.974255428,2.142857143,1.28961298,0.9781928252,0.4342011111,1.8474896,2.511476295,1.1165339,4.9455256,2.4954312,8.836922,0.54659915,8.1281185
2014Q2,0.8,1.91266363,0.6673333425,1.909186851,2.278696912,2.985714286,1.793817496,0.7352723787,0.349805928,1.7754334,2.511476295,1.1956248,4.389145,1.6294764,6.9764037,1.5075382,9.001999
2014Q3,1.1,2.354376628,1.458511114,3.208671837,2.769850269,2.528571429,2.617386322,2.125267908,1.930383973,2.573103,2.511476295,0.8156584,4.629956,1.4287395,10.826567,3.7740781,6.4391108
2014Q4,2.4,2.464804878,3.043029448,2.672148674,2.58197444,3.171428571,2.750277239,2.112724303,2.568669668,2.6888566,2.511476295,1.8792377,5.5384045,2.0607944,12.270246,3.8534613,5.412258
2015Q1,3.1,2.943327293,3.523487094,2.979052185,2.445016362,3.014285714,2.797779833,2.255519378,2.909103034,2.8787272,2.93580157,1.8516309,5.923358,2.3374922,8.749531,1.0787129,6.6500406
2015Q2,2.9,3.200993209,2.381885101,2.192145222,2.4773434,2.842857143,2.501923757,2.414811662,3.305349417,2.1507418,2.860373478,2.1888328,6.031284,2.1078434,8.628452,1.6844923,6.9845715
2015Q3,3.4,3.127374376,2.685844074,2.142404347,1.96314783,2.214285714,1.056082841,1.16351626,2.170313175,2.1093967,2.511476295,1.3756142,5.2121406,1.9348985,10.640124,3.5932245,6.5543485
2015Q4,3.1,3.311421458,3.037625531,2.132051404,2.3754601,2.771428571,2.22927912,2.095226849,3.110927588,2.3026624,2.511476295,1.1933898,4.860604,1.6099012,7.938211,0.21219422,8.829961
2016Q1,3.3,3.200993209,2.590112002,3.564677626,2.453733014,3.171428571,2.479083013,2.335103476,3.334570985,2.2563894,2.511476295,1.3338176,5.4021697,2.4824867,10.125924,3.2535183,6.90238
2016Q2,3.8,3.274612042,3.282726834,2.936048264,2.420235293,3.371428571,2.687894764,3.430781494,3.030722554,2.3468597,2.933365804,2.3775082,5.7458763,2.2571692,9.328349,1.6643394,6.8286967
2016Q3,3.2,3.458659124,3.165901728,2.842483607,2.542996838,4.971428571,3.588235303,3.702740917,3.381522187,3.7395627,2.933365804,1.7660741,5.7074914,3.1491802,9.363073,4.400853,6.800125
2016Q4,3.4,3.237802625,2.932515547,3.753482205,3.315515534,4.385714286,3.780262413,4.189671966,3.591111532,4.577787,2.960448933,1.697209,5.6054783,2.8159347,10.242179,2.4470387,6.869789
2017Q1,3.8,3.311421458,3.884105224,5.216050445,2.733248628,3.614285714,3.82147627,4.09253444,3.194383543,3.6666207,2.960448933,2.664022,6.9744453,3.5187716,12.522985,6.434996,5.378701
2017Q2,4.3,3.458659124,4.770133327,3.632324193,2.967850377,4.014285714,3.754467623,3.571814141,3.784248436,3.7638662,3.500730537,3.4954102,7.2964883,2.8903306,10.833872,0.85657454,6.216518
2017Q3,4.5,3.642706207,3.166032652,4.181758799,3.141512903,3.642857143,3.627228743,3.079482016,3.739049817,2.9760063,3.500730537,2.413392,6.9989815,3.1012995,9.341856,3.6172426,6.2498035
2017Q4,4.1,3.71632504,3.858348723,4.305336874,3.341796515,4.114285714,4.310761464,3.693459446,3.863179695,3.8710084,3.500730537,2.8487833,7.6437135,3.5075305,11.90505,5.7039266,5.5284395
2018Q1,5.1,3.569087374,4.24402627,5.276376649,3.384559917,4.314285714,4.790270192,4.512386627,4.280271064,5.090569,4.942078519,3.3950558,8.528223,3.5817242,11.043473,4.5366592,5.505415
2018Q2,4.6,3.937181539,4.174755516,5.278550876,3.312729821,4.171428571,4.642662475,4.144501318,3.956501704,4.1373262,3.89462751,4.002373,8.985641,3.9010873,11.396528,1.9670283,5.628089
2018Q3,3.2,3.753134457,4.068182667,4.346000957,3.625016825,4.314285714,4.532038987,4.085381853,3.407400688,4.4707713,3.298764625,3.8627017,9.365163,4.0463295,11.946372,3.1554089,5.5309377
2018Q4,3.9,3.237802625,3.19274228,3.767353575,2.710137512,4.014285714,4.193728521,4.466494481,3.728995428,4.338598,3.902917747,3.3607183,9.440237,4.3917885,11.039928,6.062856,5.3637176
2019Q1,2.6,3.495468541,2.881596091,4.54610029,3.180140099,3.457142857,3.769222567,3.419690746,3.191073684,3.1008875,3.271681495,3.1317434,9.309761,4.502486,8.391447,1.4847858,7.207391
2019Q2,2.2,3.016946126,2.306241165,3.580077215,3.028665269,3.8,3.6634955,3.558039909,2.821015413,3.2697277,3.278469873,3.829774,8.783438,3.4864106,10.809649,3.5390246,5.6747885
2019Q3,2.5,2.86970846,3.375265533,2.597921609,2.493392416,2.942857143,3.1498863,3.022855471,2.826523057,2.7268078,3.278469873,3.304516,8.883152,3.7269118,9.543154,2.863915,6.048716
