series_code,series_name,date,value,data_type,lag_time,release_schedule_eng,release_date
PFCG000000M000651,Total Government Expenditure,2015-08-31,144881.0000000,Flow,1 Month,The last business day of the following month,2015-09-30
PFCG000000M000651,Total Government Expenditure,2015-09-30,195594.0000000,Flow,1 Month,The last business day of the following month,2015-10-30
PFCG000000M000651,Total Government Expenditure,2015-10-31,354426.0000000,Flow,1 Month,The last business day of the following month,2015-11-30
PFCG000000M000651,Total Government Expenditure,2015-11-30,226688.0000000,Flow,1 Month,The last business day of the following month,2015-12-30
PFCG000000M000651,Total Government Expenditure,2015-12-31,278102.0000000,Flow,1 Month,The last business day of the following month,2016-01-29
PFCG000000M000651,Total Government Expenditure,2016-01-31,237899.0000000,Flow,1 Month,The last business day of the following month,2016-02-29
PFCG000000M000651,Total Government Expenditure,2016-02-29,156364.0000000,Flow,1 Month,The last business day of the following month,2016-03-31
PFCG000000M000651,Total Government Expenditure,2016-03-31,251913.0000000,Flow,1 Month,The last business day of the following month,2016-04-29
PFCG000000M000651,Total Government Expenditure,2016-04-30,208552.0000000,Flow,1 Month,The last business day of the following month,2016-05-31
PFCG000000M000651,Total Government Expenditure,2016-05-31,170541.0000000,Flow,1 Month,The last business day of the following month,2016-06-30
PFCG000000M000651,Total Government Expenditure,2016-06-30,253615.0000000,Flow,1 Month,The last business day of the following month,2016-07-29
PFCG000000M000651,Total Government Expenditure,2016-07-31,175628.0000000,Flow,1 Month,The last business day of the following month,2016-08-31
PFCG000000M000651,Total Government Expenditure,2016-08-31,154661.0000000,Flow,1 Month,The last business day of the following month,2016-09-30
PFCG000000M000651,Total Government Expenditure,2016-09-30,210831.0000000,Flow,1 Month,The last business day of the following month,2016-10-31
PFCG000000M000651,Total Government Expenditure,2016-10-31,429677.0000000,Flow,1 Month,The last business day of the following month,2016-11-30
PFCG000000M000651,Total Government Expenditure,2016-11-30,174851.0000000,Flow,1 Month,The last business day of the following month,2016-12-30
PFCG000000M000651,Total Government Expenditure,2016-12-31,317993.0000000,Flow,1 Month,The last business day of the following month,2017-01-31
PFCG000000M000651,Total Government Expenditure,2017-01-31,254867.0000000,Flow,1 Month,The last business day of the following month,2017-02-28
PFCG000000M000651,Total Government Expenditure,2017-02-28,156100.0000000,Flow,1 Month,The last business day of the following month,2017-03-31
PFCG000000M000651,Total Government Expenditure,2017-03-31,222652.0000000,Flow,1 Month,The last business day of the following month,2017-04-28
PFCG000000M000651,Total Government Expenditure,2017-04-30,216710.0000000,Flow,1 Month,The last business day of the following month,2017-05-31
PFCG000000M000651,Total Government Expenditure,2017-05-31,197324.0000000,Flow,1 Month,The last business day of the following month,2017-06-30
PFCG000000M000651,Total Government Expenditure,2017-06-30,218688.0000000,Flow,1 Month,The last business day of the following month,2017-07-31
PFCG000000M000651,Total Government Expenditure,2017-07-31,219652.0000000,Flow,1 Month,The last business day of the following month,2017-08-31
PFCG000000M000651,Total Government Expenditure,2017-08-31,164619.0000000,Flow,1 Month,The last business day of the following month,2017-09-29
PFCG000000M000651,Total Government Expenditure,2017-09-30,204025.0000000,Flow,1 Month,The last business day of the following month,2017-10-31
PFCG000000M000651,Total Government Expenditure,2017-10-31,424637.0000000,Flow,1 Month,The last business day of the following month,2017-11-30
PFCG000000M000651,Total Government Expenditure,2017-11-30,228653.0000000,Flow,1 Month,The last business day of the following month,2017-12-29
PFCG000000M000651,Total Government Expenditure,2017-12-31,287577.0000000,Flow,1 Month,The last business day of the following month,2018-01-31
PFCG000000M000651,Total Government Expenditure,2018-01-31,222306.0000000,Flow,1 Month,The last business day of the following month,2018-02-28
PFCG000000M000651,Total Government Expenditure,2018-02-28,164561.0000000,Flow,1 Month,The last business day of the following month,2018-03-30
PFCG000000M000651,Total Government Expenditure,2018-03-31,208167.0000000,Flow,1 Month,The last business day of the following month,2018-04-30
PFCG000000M000651,Total Government Expenditure,2018-04-30,245723.0000000,Flow,1 Month,The last business day of the following month,2018-05-31
PFCG000000M000651,Total Government Expenditure,2018-05-31,185104.0000000,Flow,1 Month,The last business day of the following month,2018-06-29
PFCG000000M000651,Total Government Expenditure,2018-06-30,299431.0000000,Flow,1 Month,The last business day of the following month,2018-07-31
PFCG000000M000651,Total Government Expenditure,2018-07-31,203285.0000000,Flow,1 Month,The last business day of the following month,2018-08-31
PFCG000000M000651,Total Government Expenditure,2018-08-31,173109.0000000,Flow,1 Month,The last business day of the following month,2018-09-28
PFCG000000M000651,Total Government Expenditure,2018-09-30,229020.0000000,Flow,1 Month,The last business day of the following month,2018-10-31
PFCG000000M000651,Total Government Expenditure,2018-10-31,427919.0000000,Flow,1 Month,The last business day of the following month,2018-11-30
PFCG000000M000651,Total Government Expenditure,2018-11-30,225356.0000000,Flow,1 Month,The last business day of the following month,2018-12-28
PFCG000000M000651,Total Government Expenditure,2018-12-31,268623.0000000,Flow,1 Month,The last business day of the following month,2019-01-31
PFCG000000M000651,Total Government Expenditure,2019-01-31,292706.0000000,Flow,1 Month,The last business day of the following month,2019-02-28
PFCG000000M000651,Total Government Expenditure,2019-02-28,196449.0000000,Flow,1 Month,The last business day of the following month,2019-03-29
PFCG000000M000651,Total Government Expenditure,2019-03-31,224297.0000000,Flow,1 Month,The last business day of the following month,2019-04-30
PFCG000000M000651,Total Government Expenditure,2019-04-30,258090.0000000,Flow,1 Month,The last business day of the following month,2019-05-31
PFCG000000M000651,Total Government Expenditure,2019-05-31,163153.0000000,Flow,1 Month,The last business day of the following month,2019-06-28
PFCG000000M000651,Total Government Expenditure,2019-06-30,223964.0000000,Flow,1 Month,The last business day of the following month,2019-07-31
PFCG000000M000651,Total Government Expenditure,2019-07-31,227297.0000000,Flow,1 Month,The last business day of the following month,2019-08-30
PFCG000000M000651,Total Government Expenditure,2019-08-31,163777.0000000,Flow,1 Month,The last business day of the following month,2019-09-30
PFCG000000M000651,Total Government Expenditure,2019-09-30,274983.0000000,Flow,1 Month,The last business day of the following month,2019-10-31
PFCG000000M000651,Total Government Expenditure,2019-10-31,366791.0000000,Flow,1 Month,The last business day of the following month,2019-11-29
PFCG000000M000651,Total Government Expenditure,2019-11-30,175141.0000000,Flow,1 Month,The last business day of the following month,2019-12-30
PFCG000000M000651,Total Government Expenditure,2019-12-31,252186.0000000,Flow,1 Month,The last business day of the following month,2020-01-31
EICEIM00002,Import Volume Index (exclude Gold),2011-01-31,85.5500000,Index,1 Month,The last business day of the following month,2011-02-28
EICEIM00002,Import Volume Index (exclude Gold),2011-02-28,92.9700000,Index,1 Month,The last business day of the following month,2011-03-31
EICEIM00002,Import Volume Index (exclude Gold),2011-03-31,94.1100000,Index,1 Month,The last business day of the following month,2011-04-29
EICEIM00002,Import Volume Index (exclude Gold),2011-04-30,94.1600000,Index,1 Month,The last business day of the following month,2011-05-31
EICEIM00002,Import Volume Index (exclude Gold),2011-05-31,93.7200000,Index,1 Month,The last business day of the following month,2011-06-30
EICEIM00002,Import Volume Index (exclude Gold),2011-06-30,90.9700000,Index,1 Month,The last business day of the following month,2011-07-29
EICEIM00002,Import Volume Index (exclude Gold),2011-07-31,93.6200000,Index,1 Month,The last business day of the following month,2011-08-31
EICEIM00002,Import Volume Index (exclude Gold),2011-08-31,104.8400000,Index,1 Month,The last business day of the following month,2011-09-30
EICEIM00002,Import Volume Index (exclude Gold),2011-09-30,92.6600000,Index,1 Month,The last business day of the following month,2011-10-31
EICEIM00002,Import Volume Index (exclude Gold),2011-10-31,83.4600000,Index,1 Month,The last business day of the following month,2011-11-30
EICEIM00002,Import Volume Index (exclude Gold),2011-11-30,79.5400000,Index,1 Month,The last business day of the following month,2011-12-30
EICEIM00002,Import Volume Index (exclude Gold),2011-12-31,93.2900000,Index,1 Month,The last business day of the following month,2012-01-31
EICEIM00002,Import Volume Index (exclude Gold),2012-01-31,81.0500000,Index,1 Month,The last business day of the following month,2012-02-29
EICEIM00002,Import Volume Index (exclude Gold),2012-02-29,94.3200000,Index,1 Month,The last business day of the following month,2012-03-30
EICEIM00002,Import Volume Index (exclude Gold),2012-03-31,107.4100000,Index,1 Month,The last business day of the following month,2012-04-30
EICEIM00002,Import Volume Index (exclude Gold),2012-04-30,97.9600000,Index,1 Month,The last business day of the following month,2012-05-31
EICEIM00002,Import Volume Index (exclude Gold),2012-05-31,103.1800000,Index,1 Month,The last business day of the following month,2012-06-29
EICEIM00002,Import Volume Index (exclude Gold),2012-06-30,102.5900000,Index,1 Month,The last business day of the following month,2012-07-31
EICEIM00002,Import Volume Index (exclude Gold),2012-07-31,104.2400000,Index,1 Month,The last business day of the following month,2012-08-31
EICEIM00002,Import Volume Index (exclude Gold),2012-08-31,99.7400000,Index,1 Month,The last business day of the following month,2012-09-28
EICEIM00002,Import Volume Index (exclude Gold),2012-09-30,103.6400000,Index,1 Month,The last business day of the following month,2012-10-31
EICEIM00002,Import Volume Index (exclude Gold),2012-10-31,104.3500000,Index,1 Month,The last business day of the following month,2012-11-30
EICEIM00002,Import Volume Index (exclude Gold),2012-11-30,100.0600000,Index,1 Month,The last business day of the following month,2012-12-28
EICEIM00002,Import Volume Index (exclude Gold),2012-12-31,101.8800000,Index,1 Month,The last business day of the following month,2013-01-31
EICEIM00002,Import Volume Index (exclude Gold),2013-01-31,105.2300000,Index,1 Month,The last business day of the following month,2013-02-28
EICEIM00002,Import Volume Index (exclude Gold),2013-02-28,97.0800000,Index,1 Month,The last business day of the following month,2013-03-29
EICEIM00002,Import Volume Index (exclude Gold),2013-03-31,104.0600000,Index,1 Month,The last business day of the following month,2013-04-30
EICEIM00002,Import Volume Index (exclude Gold),2013-04-30,105.9300000,Index,1 Month,The last business day of the following month,2013-05-31
EICEIM00002,Import Volume Index (exclude Gold),2013-05-31,102.5800000,Index,1 Month,The last business day of the following month,2013-06-28
EICEIM00002,Import Volume Index (exclude Gold),2013-06-30,107.2400000,Index,1 Month,The last business day of the following month,2013-07-31
EICEIM00002,Import Volume Index (exclude Gold),2013-07-31,94.8400000,Index,1 Month,The last business day of the following month,2013-08-30
EICEIM00002,Import Volume Index (exclude Gold),2013-08-31,101.2600000,Index,1 Month,The last business day of the following month,2013-09-30
EICEIM00002,Import Volume Index (exclude Gold),2013-09-30,96.3300000,Index,1 Month,The last business day of the following month,2013-10-31
EICEIM00002,Import Volume Index (exclude Gold),2013-10-31,100.5500000,Index,1 Month,The last business day of the following month,2013-11-29
EICEIM00002,Import Volume Index (exclude Gold),2013-11-30,95.2500000,Index,1 Month,The last business day of the following month,2013-12-30
EICEIM00002,Import Volume Index (exclude Gold),2013-12-31,96.7600000,Index,1 Month,The last business day of the following month,2014-01-31
EICEIM00002,Import Volume Index (exclude Gold),2014-01-31,102.8100000,Index,1 Month,The last business day of the following month,2014-02-28
EICEIM00002,Import Volume Index (exclude Gold),2014-02-28,88.4100000,Index,1 Month,The last business day of the following month,2014-03-31
EICEIM00002,Import Volume Index (exclude Gold),2014-03-31,94.3800000,Index,1 Month,The last business day of the following month,2014-04-30
EICEIM00002,Import Volume Index (exclude Gold),2014-04-30,94.6700000,Index,1 Month,The last business day of the following month,2014-05-30
EICEIM00002,Import Volume Index (exclude Gold),2014-05-31,99.5700000,Index,1 Month,The last business day of the following month,2014-06-30
EICEIM00002,Import Volume Index (exclude Gold),2014-06-30,90.5400000,Index,1 Month,The last business day of the following month,2014-07-31
EICEIM00002,Import Volume Index (exclude Gold),2014-07-31,94.8000000,Index,1 Month,The last business day of the following month,2014-08-29
EICEIM00002,Import Volume Index (exclude Gold),2014-08-31,95.9800000,Index,1 Month,The last business day of the following month,2014-09-30
EICEIM00002,Import Volume Index (exclude Gold),2014-09-30,103.1400000,Index,1 Month,The last business day of the following month,2014-10-31
EICEIM00002,Import Volume Index (exclude Gold),2014-10-31,100.7100000,Index,1 Month,The last business day of the following month,2014-11-28
EICEIM00002,Import Volume Index (exclude Gold),2014-11-30,96.0000000,Index,1 Month,The last business day of the following month,2014-12-30
EICEIM00002,Import Volume Index (exclude Gold),2014-12-31,95.7800000,Index,1 Month,The last business day of the following month,2015-01-30
EICEIM00002,Import Volume Index (exclude Gold),2015-01-31,99.6600000,Index,1 Month,The last business day of the following month,2015-02-27
EICEIM00002,Import Volume Index (exclude Gold),2015-02-28,98.9400000,Index,1 Month,The last business day of the following month,2015-03-31
EICEIM00002,Import Volume Index (exclude Gold),2015-03-31,94.1200000,Index,1 Month,The last business day of the following month,2015-04-30
EICEIM00002,Import Volume Index (exclude Gold),2015-04-30,95.0900000,Index,1 Month,The last business day of the following month,2015-05-29
EICEIM00002,Import Volume Index (exclude Gold),2015-05-31,91.8700000,Index,1 Month,The last business day of the following month,2015-06-30
EICEIM00002,Import Volume Index (exclude Gold),2015-06-30,98.4000000,Index,1 Month,The last business day of the following month,2015-07-31
EICEIM00002,Import Volume Index (exclude Gold),2015-07-31,91.9500000,Index,1 Month,The last business day of the following month,2015-08-31
EICEIM00002,Import Volume Index (exclude Gold),2015-08-31,96.9200000,Index,1 Month,The last business day of the following month,2015-09-30
EICEIM00002,Import Volume Index (exclude Gold),2015-09-30,96.4300000,Index,1 Month,The last business day of the following month,2015-10-30
EICEIM00002,Import Volume Index (exclude Gold),2015-10-31,92.0400000,Index,1 Month,The last business day of the following month,2015-11-30
EICEIM00002,Import Volume Index (exclude Gold),2015-11-30,95.0200000,Index,1 Month,The last business day of the following month,2015-12-30
EICEIM00002,Import Volume Index (exclude Gold),2015-12-31,92.7900000,Index,1 Month,The last business day of the following month,2016-01-29
EICEIM00002,Import Volume Index (exclude Gold),2016-01-31,92.2300000,Index,1 Month,The last business day of the following month,2016-02-29
EICEIM00002,Import Volume Index (exclude Gold),2016-02-29,89.1900000,Index,1 Month,The last business day of the following month,2016-03-31
EICEIM00002,Import Volume Index (exclude Gold),2016-03-31,92.0100000,Index,1 Month,The last business day of the following month,2016-04-29
EICEIM00002,Import Volume Index (exclude Gold),2016-04-30,91.4400000,Index,1 Month,The last business day of the following month,2016-05-31
EICEIM00002,Import Volume Index (exclude Gold),2016-05-31,93.7100000,Index,1 Month,The last business day of the following month,2016-06-30
EICEIM00002,Import Volume Index (exclude Gold),2016-06-30,91.9200000,Index,1 Month,The last business day of the following month,2016-07-29
EICEIM00002,Import Volume Index (exclude Gold),2016-07-31,95.7000000,Index,1 Month,The last business day of the following month,2016-08-31
EICEIM00002,Import Volume Index (exclude Gold),2016-08-31,92.8100000,Index,1 Month,The last business day of the following month,2016-09-30
EICEIM00002,Import Volume Index (exclude Gold),2016-09-30,96.4800000,Index,1 Month,The last business day of the following month,2016-10-31
EICEIM00002,Import Volume Index (exclude Gold),2016-10-31,95.7300000,Index,1 Month,The last business day of the following month,2016-11-30
EICEIM00002,Import Volume Index (exclude Gold),2016-11-30,95.4000000,Index,1 Month,The last business day of the following month,2016-12-30
EICEIM00002,Import Volume Index (exclude Gold),2016-12-31,98.6900000,Index,1 Month,The last business day of the following month,2017-01-31
EICEIM00002,Import Volume Index (exclude Gold),2017-01-31,87.6300000,Index,1 Month,The last business day of the following month,2017-02-28
EICEIM00002,Import Volume Index (exclude Gold),2017-02-28,96.1800000,Index,1 Month,The last business day of the following month,2017-03-31
EICEIM00002,Import Volume Index (exclude Gold),2017-03-31,101.3800000,Index,1 Month,The last business day of the following month,2017-04-28
EICEIM00002,Import Volume Index (exclude Gold),2017-04-30,94.9600000,Index,1 Month,The last business day of the following month,2017-05-31
EICEIM00002,Import Volume Index (exclude Gold),2017-05-31,100.3200000,Index,1 Month,The last business day of the following month,2017-06-30
EICEIM00002,Import Volume Index (exclude Gold),2017-06-30,98.2200000,Index,1 Month,The last business day of the following month,2017-07-31
EICEIM00002,Import Volume Index (exclude Gold),2017-07-31,101.2000000,Index,1 Month,The last business day of the following month,2017-08-31
EICEIM00002,Import Volume Index (exclude Gold),2017-08-31,100.4800000,Index,1 Month,The last business day of the following month,2017-09-29
EICEIM00002,Import Volume Index (exclude Gold),2017-09-30,99.2800000,Index,1 Month,The last business day of the following month,2017-10-31
EICEIM00002,Import Volume Index (exclude Gold),2017-10-31,105.1800000,Index,1 Month,The last business day of the following month,2017-11-30
EICEIM00002,Import Volume Index (exclude Gold),2017-11-30,97.3400000,Index,1 Month,The last business day of the following month,2017-12-29
EICEIM00002,Import Volume Index (exclude Gold),2017-12-31,105.5400000,Index,1 Month,The last business day of the following month,2018-01-31
EICEIM00002,Import Volume Index (exclude Gold),2018-01-31,100.9300000,Index,1 Month,The last business day of the following month,2018-02-28
EICEIM00002,Import Volume Index (exclude Gold),2018-02-28,108.5600000,Index,1 Month,The last business day of the following month,2018-03-30
EICEIM00002,Import Volume Index (exclude Gold),2018-03-31,103.0300000,Index,1 Month,The last business day of the following month,2018-04-30
EICEIM00002,Import Volume Index (exclude Gold),2018-04-30,109.1700000,Index,1 Month,The last business day of the following month,2018-05-31
EICEIM00002,Import Volume Index (exclude Gold),2018-05-31,104.4200000,Index,1 Month,The last business day of the following month,2018-06-29
EICEIM00002,Import Volume Index (exclude Gold),2018-06-30,106.4800000,Index,1 Month,The last business day of the following month,2018-07-31
EICEIM00002,Import Volume Index (exclude Gold),2018-07-31,105.8500000,Index,1 Month,The last business day of the following month,2018-08-31
EICEIM00002,Import Volume Index (exclude Gold),2018-08-31,108.6800000,Index,1 Month,The last business day of the following month,2018-09-28
EICEIM00002,Import Volume Index (exclude Gold),2018-09-30,107.2600000,Index,1 Month,The last business day of the following month,2018-10-31
EICEIM00002,Import Volume Index (exclude Gold),2018-10-31,107.4500000,Index,1 Month,The last business day of the following month,2018-11-30
EICEIM00002,Import Volume Index (exclude Gold),2018-11-30,113.8200000,Index,1 Month,The last business day of the following month,2018-12-28
EICEIM00002,Import Volume Index (exclude Gold),2018-12-31,104.0800000,Index,1 Month,The last business day of the following month,2019-01-31
EICEIM00002,Import Volume Index (exclude Gold),2019-01-31,107.2300000,Index,1 Month,The last business day of the following month,2019-02-28
EICEIM00002,Import Volume Index (exclude Gold),2019-02-28,101.9700000,Index,1 Month,The last business day of the following month,2019-03-29
EICEIM00002,Import Volume Index (exclude Gold),2019-03-31,104.3700000,Index,1 Month,The last business day of the following month,2019-04-30
EICEIM00002,Import Volume Index (exclude Gold),2019-04-30,103.3900000,Index,1 Month,The last business day of the following month,2019-05-31
EICEIM00002,Import Volume Index (exclude Gold),2019-05-31,105.0200000,Index,1 Month,The last business day of the following month,2019-06-28
EICEIM00002,Import Volume Index (exclude Gold),2019-06-30,98.1800000,Index,1 Month,The last business day of the following month,2019-07-31
EICEIM00002,Import Volume Index (exclude Gold),2019-07-31,105.2100000,Index,1 Month,The last business day of the following month,2019-08-30
EICEIM00002,Import Volume Index (exclude Gold),2019-08-31,102.0200000,Index,1 Month,The last business day of the following month,2019-09-30
EICEIM00002,Import Volume Index (exclude Gold),2019-09-30,102.4800000,Index,1 Month,The last business day of the following month,2019-10-31
EICEIM00002,Import Volume Index (exclude Gold),2019-10-31,99.1800000,Index,1 Month,The last business day of the following month,2019-11-29
EICEIM00002,Import Volume Index (exclude Gold),2019-11-30,97.5100000,Index,1 Month,The last business day of the following month,2019-12-30
EICEIM00002,Import Volume Index (exclude Gold),2019-12-31,101.5900000,Index,1 Month,The last business day of the following month,2020-01-31
EILEIM00011,Export Volume Index (exclude Gold),2011-01-31,98.8400000,Index,1 Month,The last business day of the following month,2011-02-28
EILEIM00011,Export Volume Index (exclude Gold),2011-02-28,97.2300000,Index,1 Month,The last business day of the following month,2011-03-31
EILEIM00011,Export Volume Index (exclude Gold),2011-03-31,101.9100000,Index,1 Month,The last business day of the following month,2011-04-29
EILEIM00011,Export Volume Index (exclude Gold),2011-04-30,97.9200000,Index,1 Month,The last business day of the following month,2011-05-31
EILEIM00011,Export Volume Index (exclude Gold),2011-05-31,99.8300000,Index,1 Month,The last business day of the following month,2011-06-30
EILEIM00011,Export Volume Index (exclude Gold),2011-06-30,100.9400000,Index,1 Month,The last business day of the following month,2011-07-29
EILEIM00011,Export Volume Index (exclude Gold),2011-07-31,105.8100000,Index,1 Month,The last business day of the following month,2011-08-31
EILEIM00011,Export Volume Index (exclude Gold),2011-08-31,105.1800000,Index,1 Month,The last business day of the following month,2011-09-30
EILEIM00011,Export Volume Index (exclude Gold),2011-09-30,104.9100000,Index,1 Month,The last business day of the following month,2011-10-31
EILEIM00011,Export Volume Index (exclude Gold),2011-10-31,92.7800000,Index,1 Month,The last business day of the following month,2011-11-30
EILEIM00011,Export Volume Index (exclude Gold),2011-11-30,80.5800000,Index,1 Month,The last business day of the following month,2011-12-30
EILEIM00011,Export Volume Index (exclude Gold),2011-12-31,89.4100000,Index,1 Month,The last business day of the following month,2012-01-31
EILEIM00011,Export Volume Index (exclude Gold),2012-01-31,90.5000000,Index,1 Month,The last business day of the following month,2012-02-29
EILEIM00011,Export Volume Index (exclude Gold),2012-02-29,98.3500000,Index,1 Month,The last business day of the following month,2012-03-30
EILEIM00011,Export Volume Index (exclude Gold),2012-03-31,99.2500000,Index,1 Month,The last business day of the following month,2012-04-30
EILEIM00011,Export Volume Index (exclude Gold),2012-04-30,100.8100000,Index,1 Month,The last business day of the following month,2012-05-31
EILEIM00011,Export Volume Index (exclude Gold),2012-05-31,105.9700000,Index,1 Month,The last business day of the following month,2012-06-29
EILEIM00011,Export Volume Index (exclude Gold),2012-06-30,99.3600000,Index,1 Month,The last business day of the following month,2012-07-31
