holiday,date,day
Substitution for Constitution Day (Saturday 10th Dec),12-12-2016,Monday
Substitution for New Year’s Eve and New Year’s Day,02-01-2017,Monday
Special Holiday,03-01-2017,Tuesday
Substitution for Makha Bucha Day,13-02-2017,Monday
Chakri Memorial Day,06-04-2017,Thursday
Songkran Festival,13-04-2017,Thursday
Songkran Festival,14-04-2017,Friday
National Labour Day,01-05-2017,Monday
Coronation Day,05-05-2017,Friday
Wisakha Bucha Day,10-05-2017,Wednesday
Substitution for Asarnha Bucha Day,10-07-2017,Monday
Substitution for H.M. the Queen’s Birthday,14-08-2017,Monday
Chulalongkorn Day,23-10-2017,Monday
H.M. the King’s Birthday,05-12-2017,Tuesday
Substitution for Constitution Day,11-12-2017,Monday
New Year’s Day,01-01-2018,Monday
Substitution for New Year’s Eve,02-01-2018,Tuesday
Makha Bucha Day,01-03-2018,Thursday
Chakri Memorial Day,06-04-2018,Friday
Songkran Festival,13-04-2018,Friday
Substitution for Songkran Festival,16-04-2018,Monday
National Labour Day,01-05-2018,Tuesday
Wisakha Bucha Day,29-05-2018,Tuesday
Asarnha Bucha Day,27-07-2018,Friday
Substitution for H.M. King Maha Vajiralongkorn’s Birthday,30-07-2018,Monday
Substitution for H.M. Queen Sirikit’s Birthday,13-08-2018,Monday
Substitution for H.M. King Bhumibol Adulyadej Memorial Day,15-10-2018,Monday
Chulalongkorn Day,23-10-2018,Tuesday
H.M. King Bhumibol Adulyadej’s Birthday / National Day / Father’s Day,05-12-2018,Wednesday
Constitution Day,10-12-2018,Monday
New Year’s Eve,31-12-2018,Monday
New Year's Day,01-01-2019,Tuesday
Makha Bucha Day,19-02-2019,Tuesday
Substitution for Chakri Memorial Day (Saturday 6th April 2019),08-04-2019,Monday
Songkran Festival,15-04-2019,Monday
Substitution for Songkran Festival (Sat 13th & Sun 14th April 2019),16-04-2019,Tuesday
National Labour Day,01-05-2019,Wednesday
Special Holiday,06-05-2019,Monday
Substitution for Wisakha Bucha Day (Saturday 18th May 2019),20-05-2019,Monday
Special Holiday,03-06-2019,Wednesday
Asarnha Bucha Day,16-07-2019,Tuesday
Substitution for H.M. King Vajiralongkorn’s Birthday (Sunday 28th July 2019),29-07-2019,Monday
H.M. Queen Sirikit’s Birthday,12-08-2019,Monday
Substitution for H.M. King Bhumibol Adulyadej Memorial Day (Sun 13th Oct),14-10-2019,Monday
Chulalongkorn Day,23-10-2019,Wednesday
H.M. King Bhumibol Adulyadej’s Birthday / National Day / Father’s Day,05-12-2019,Thursday
Constitution Day,10-12-2019,Tuesday
New Year’s Eve,31-12-2019,Tuesday
New Year's Day,01-01-2020,Wednesday
"Substitution for Makha Bucha Day
(Saturday 8th February 2020)",10-02-2020,Monday
